stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
367,,"CULVER BLVD/VINTON AVE",,  34.017048,-118.399700,,,0
368,,"CULVER BLVD/JACKSON AVE",,  34.018684,-118.398430,,,0
369,,"ROBERTSON TRANSIT HUB",,  34.027234,-118.389969,,,0
37,,"WASHINGTON BLVD/HIGUERA ST",,  34.025688,-118.390521,,,0
370,,"CULVER BLVD/MADISON AVE",,  34.019482,-118.398158,,,0
371,,"CULVER BLVD/MOTOR AVE",,  34.016618,-118.400365,,,0
372,,"CULVER BLVD/OVERLAND AVE",,  34.013814,-118.402874,,,0
373,,"CULVER BLVD/ELENDA ST",,  34.009537,-118.406128,,,0
374,,"CULVER BLVD/HARTER AVE",,  34.006946,-118.408098,,,0
375,,"CULVER BLVD/SEPULVEDA BLVD",,  34.004521,-118.410249,,,0
376,,"CULVER BLVD/SAWTELLE",,  34.002098,-118.412135,,,0
377,,"CULVER BLVD/BERRYMAN AVE",,  34.000320,-118.413462,,,0
378,,"CULVER BLVD/SLAUSON AVE",,  33.998645,-118.414822,,,0
379,,"CULVER BLVD/INGLEWOOD BLVD",,  33.995048,-118.417756,,,0
38,,"WASHINGTON BLVD/LANDMARK ST (EXPO)",,  34.027112,-118.388204,,,0
380,,"CULVER BLVD/CENTINELA AVE",,  33.991199,-118.420848,,,0
381,,"CULVER BLVD/WESTLAWN AVE",,  33.988746,-118.422831,,,0
382,,"CULVER BLVD/BRADDOCK DR",,  33.985861,-118.425153,,,0
383,,"CULVER BLVD/MARINA FWY",,  33.982194,-118.428125,,,0
384,,"ALLA RD/PANAMA ST",,  33.982965,-118.429609,,,0
385,,"ALLA RD/BONAPARTE AVE",,  33.984985,-118.431032,,,0
386,,"MINDANAO WY/ALLA RD",,  33.987896,-118.433774,,,0
387,,"MINDANAO WY/GLENCOE AVE",,  33.985705,-118.437288,,,0
388,,"MAXELLA AVE/GLENCOE AVE",,  33.986652,-118.441603,,,0
389,,"LINCOLN BLVD/MAXELLA AVE",,  33.985293,-118.443412,,,0
39,,"WASHINGTON BLVD/HELMS AVE",,  34.029579,-118.383973,,,0
390,,"ADMIRALTY WY/BALI WY",,  33.981815,-118.441618,,,0
391,,"ADMIRALTY WY/MINDANAO WY",,  33.979560,-118.440067,,,0
