stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4731,14731,FULTON ST & 4TH AVE, ,37.77384,-122.46125, , 
4732,14732,FULTON ST & 6TH AVE, ,37.773639,-122.463848, , 
4733,14733,FULTON ST & 6TH AVE, ,37.773532,-122.463837, , 
4734,14734,FULTON ST & 8TH AVE, ,37.77347,-122.466049, , 
4735,14735,FULTON ST & 8TH AVE, ,37.773318,-122.465739, , 
4736,14736,FULTON ST & 10TH AVE, ,37.77335,-122.46839, , 
4737,14737,FULTON ST & 10TH AVE, ,37.77325,-122.46761, , 
4738,14738,FULTON ST & 12TH AVE, ,37.77326,-122.47053, , 
4739,14739,FULTON ST & 12TH AVE, ,37.77318,-122.46982, , 
4740,14740,FULTON ST & 16TH AVE, ,37.77305,-122.47492, , 
4741,14741,FULTON ST & 16TH AVE, ,37.77295,-122.47419, , 
4742,14742,FULTON ST & 18TH AVE, ,37.772959,-122.476776, , 
4743,14743,FULTON ST & 18TH AVE, ,37.77283,-122.47683, , 
4744,14744,FULTON ST & 20TH AVE, ,37.77286,-122.47917, , 
4745,14745,FULTON ST & 20TH AVE, ,37.77275,-122.47846, , 
4746,14746,FULTON ST & 22ND AVE, ,37.77276,-122.48134, , 
4747,14747,FULTON ST & 22ND AVE, ,37.77266,-122.48061, , 
4748,14748,FULTON ST & 25TH AVE, ,37.772591,-122.484306, , 
4749,14749,FULTON ST & 25TH AVE, ,37.772547,-122.4841, , 
4750,14750,FULTON ST & 28TH AVE, ,37.77251,-122.48726, , 
